id,category_eng,category_ru,pronoun,pronoun_clean,pronoun_details,ipa,translation,translation_clean,translation_details,number,person,example_eng,example_ru,is_suspicious
142,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/родительный),it,personal-object/родительный,/ɪt/,его(n./п.род),его,n./п.род,singular,3,They repaired it yesterday.,Они починили его вчера.,0
143,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/родительный),it,personal-object/родительный,/ɪt/,его(n./п.род),его,n./п.род,singular,3,The teacher noticed it immediately.,Учитель заметил его сразу.,0
144,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/родительный),it,personal-object/родительный,/ɪt/,его(n./п.род),его,n./п.род,singular,3,I remember it very well.,Я очень хорошо помню его.,0
145,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/дательный),it,personal-object/дательный,/ɪt/,ему(n.),ему,n.,singular,3,She gave it a name.,Она дала ему имя.,0
146,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/дательный),it,personal-object/дательный,/ɪt/,ему(n.),ему,n.,singular,3,They sent it to the laboratory.,Они отправили его в лабораторию.,0
147,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/дательный),it,personal-object/дательный,/ɪt/,ему(n.),ему,n.,singular,3,He showed it to his friend.,Он показал его своему другу.,0
148,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/дательный),it,personal-object/дательный,/ɪt/,ему(n.),ему,n.,singular,3,I offered it to the team.,Я предложил его команде.,0
149,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/дательный),it,personal-object/дательный,/ɪt/,ему(n.),ему,n.,singular,3,They assigned it a task.,Они назначили ему задачу.,0
150,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/винительный),it,personal-object/винительный,/ɪt/,его(n./п.вин),его,n./п.вин,singular,3,I found it under the bed.,Я нашёл его под кроватью.,0
151,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/винительный),it,personal-object/винительный,/ɪt/,его(n./п.вин),его,n./п.вин,singular,3,She moved it to another room.,Она передвинула его в другую комнату.,0
152,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/винительный),it,personal-object/винительный,/ɪt/,его(n./п.вин),его,n./п.вин,singular,3,They lost it during the trip.,Они потеряли его во время поездки.,0
153,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/винительный),it,personal-object/винительный,/ɪt/,его(n./п.вин),его,n./п.вин,singular,3,Please fix it as soon as possible.,"Пожалуйста, почини его как можно скорее.",0
154,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/винительный),it,personal-object/винительный,/ɪt/,его(n./п.вин),его,n./п.вин,singular,3,He bought it yesterday.,Он купил его вчера.,0
155,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/творительный),it,personal-object/творительный,/ɪt/,им(п.тв/n.),им,п.тв/n.,singular,3,They worked with it all night.,Они работали с ним всю ночь.,0
156,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/творительный),it,personal-object/творительный,/ɪt/,им(п.тв/n.),им,п.тв/n.,singular,3,She cleaned the floor with it.,Она убрала пол с его помощью.,0
157,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/творительный),it,personal-object/творительный,/ɪt/,им(п.тв/n.),им,п.тв/n.,singular,3,He impressed everyone with it.,Он впечатлил всех с его помощью.,0
158,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/творительный),it,personal-object/творительный,/ɪt/,им(п.тв/n.),им,п.тв/n.,singular,3,They solved the problem with it.,Они решили проблему с его помощью.,0
159,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/творительный),it,personal-object/творительный,/ɪt/,им(п.тв/n.),им,п.тв/n.,singular,3,I decorated the room with it.,Я украсил комнату с его помощью.,0
160,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/предложный),it,personal-object/предложный,/ɪt/,о нём(n.),о нём,n.,singular,3,They talked about it yesterday.,Они говорили о нём вчера.,0
161,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/предложный),it,personal-object/предложный,/ɪt/,о нём(n.),о нём,n.,singular,3,What do you know about it?,Что ты знаешь о нём?,0
162,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/предложный),it,personal-object/предложный,/ɪt/,о нём(n.),о нём,n.,singular,3,Don’t worry about it.,Не переживай о нём.,0
163,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/предложный),it,personal-object/предложный,/ɪt/,о нём(n.),о нём,n.,singular,3,The story is about it.,История о нём.,0
164,"Personal Pronouns, object form","личные местоимения, косвенные падежи",it(personal-object/предложный),it,personal-object/предложный,/ɪt/,о нём(n.),о нём,n.,singular,3,She always thinks about it.,Она всегда думает о нём.,0
165,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/родительный),us,personal-object/родительный,/ʌs/,нас(п.род),нас,п.род,plural,1,They saw us at the party.,Они видели нас на вечеринке.,0
166,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/родительный),us,personal-object/родительный,/ʌs/,нас(п.род),нас,п.род,plural,1,She invited us to her house.,Она пригласила нас к себе домой.,0
167,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/родительный),us,personal-object/родительный,/ʌs/,нас(п.род),нас,п.род,plural,1,The teacher praised us for our work.,Учитель похвалил нас за нашу работу.,0
168,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/родительный),us,personal-object/родительный,/ʌs/,нас(п.род),нас,п.род,plural,1,He remembered us from school.,Он вспомнил нас из школы.,0
169,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/родительный),us,personal-object/родительный,/ʌs/,нас(п.род),нас,п.род,plural,1,They accused us of cheating.,Они обвинили нас в обмане.,0
170,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/дательный),us,personal-object/дательный,/ʌs/,нам,нам,,plural,1,She gave us a gift.,Она дала нам подарок.,0
171,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/дательный),us,personal-object/дательный,/ʌs/,нам,нам,,plural,1,They sent us a letter.,Они отправили нам письмо.,0
172,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/дательный),us,personal-object/дательный,/ʌs/,нам,нам,,plural,1,Can you show us the way?,Можешь показать нам дорогу?,0
173,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/дательный),us,personal-object/дательный,/ʌs/,нам,нам,,plural,1,The book belongs to us.,Эта книга принадлежит нам.,0
174,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/дательный),us,personal-object/дательный,/ʌs/,нам,нам,,plural,1,Tell us the truth.,Скажи нам правду.,0
175,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/винительный),us,personal-object/винительный,/ʌs/,нас(п.вин),нас,п.вин,plural,1,They invited us to the party.,Они пригласили нас на вечеринку.,0
176,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/винительный),us,personal-object/винительный,/ʌs/,нас(п.вин),нас,п.вин,plural,1,Please help us with the project.,"Пожалуйста, помогите нам с проектом.",0
177,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/винительный),us,personal-object/винительный,/ʌs/,нас(п.вин),нас,п.вин,plural,1,I saw us in the mirror.,Я видел нас в зеркале.,0
178,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/винительный),us,personal-object/винительный,/ʌs/,нас(п.вин),нас,п.вин,plural,1,She called us yesterday.,Она звонила нам вчера.,0
179,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/винительный),us,personal-object/винительный,/ʌs/,нас(п.вин),нас,п.вин,plural,1,The dog followed us home.,Собака пошла за нами домой.,0
180,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/творительный),us,personal-object/творительный,/ʌs/,нами,нами,,plural,1,They worked with us on the project.,Они работали с нами над проектом.,0
181,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/творительный),us,personal-object/творительный,/ʌs/,нами,нами,,plural,1,She danced with us at the party.,Она танцевала с нами на вечеринке.,0
182,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/творительный),us,personal-object/творительный,/ʌs/,нами,нами,,plural,1,The teacher was impressed by us.,Учитель был впечатлён нами.,0
183,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/творительный),us,personal-object/творительный,/ʌs/,нами,нами,,plural,1,He argued with us about politics.,Он спорил с нами о политике.,0
184,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/творительный),us,personal-object/творительный,/ʌs/,нами,нами,,plural,1,They traveled with us last summer.,Они путешествовали с нами прошлым летом.,0
185,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/предложный),us,personal-object/предложный,/ʌs/,о нас,о нас,,plural,1,They talked about us yesterday.,Они говорили о нас вчера.,0
186,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/предложный),us,personal-object/предложный,/ʌs/,о нас,о нас,,plural,1,The story is about us.,История о нас.,0
187,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/предложный),us,personal-object/предложный,/ʌs/,о нас,о нас,,plural,1,She always thinks about us.,Она всегда думает о нас.,0
188,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/предложный),us,personal-object/предложный,/ʌs/,о нас,о нас,,plural,1,Don’t worry about us.,Не переживай о нас.,0
189,"Personal Pronouns, object form","личные местоимения, косвенные падежи",us(personal-object/предложный),us,personal-object/предложный,/ʌs/,о нас,о нас,,plural,1,What do you know about us?,Что ты знаешь о нас?,0
190,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/родительный),them,personal-object/родительный,/ðɛm/,их(п.род),их,п.род,plural,3,I saw them at the park.,Я видел их в парке.,0
191,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/родительный),them,personal-object/родительный,/ðɛm/,их(п.род),их,п.род,plural,3,They invited them to the meeting.,Они пригласили их на встречу.,0
192,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/родительный),them,personal-object/родительный,/ðɛm/,их(п.род),их,п.род,plural,3,She remembered them from school.,Она вспомнила их из школы.,0
193,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/родительный),them,personal-object/родительный,/ðɛm/,их(п.род),их,п.род,plural,3,We need to talk to them.,Нам нужно поговорить с ними.,0
194,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/родительный),them,personal-object/родительный,/ðɛm/,их(п.род),их,п.род,plural,3,They accused them of lying.,Они обвинили их во лжи.,0
195,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/дательный),them,personal-object/дательный,/ðɛm/,им(п.дат),им,п.дат,plural,3,She gave them a gift.,Она дала им подарок.,0
196,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/дательный),them,personal-object/дательный,/ðɛm/,им(п.дат),им,п.дат,plural,3,They sent them a letter.,Они отправили им письмо.,0
197,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/дательный),them,personal-object/дательный,/ðɛm/,им(п.дат),им,п.дат,plural,3,Can I show them something?,Могу показать им что-то?,0
198,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/дательный),them,personal-object/дательный,/ðɛm/,им(п.дат),им,п.дат,plural,3,The book belongs to them.,Эта книга принадлежит им.,0
199,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/дательный),them,personal-object/дательный,/ðɛm/,им(п.дат),им,п.дат,plural,3,Tell them the truth.,Скажи им правду.,0
200,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/винительный),them,personal-object/винительный,/ðɛm/,их(п.вин),их,п.вин,plural,3,I trust them.,Я доверяю им.,0
201,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/винительный),them,personal-object/винительный,/ðɛm/,их(п.вин),их,п.вин,plural,3,Please help them with the project.,"Пожалуйста, помогите им с проектом.",0
202,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/винительный),them,personal-object/винительный,/ðɛm/,их(п.вин),их,п.вин,plural,3,They saw them at the party.,Они видели их на вечеринке.,0
203,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/винительный),them,personal-object/винительный,/ðɛm/,их(п.вин),их,п.вин,plural,3,She called them yesterday.,Она звонила им вчера.,0
204,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/винительный),them,personal-object/винительный,/ðɛm/,их(п.вин),их,п.вин,plural,3,He invited them to dinner.,Он пригласил их на ужин.,0
205,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/творительный),them,personal-object/творительный,/ðɛm/,ими,ими,,plural,3,They worked with them on the project.,Они работали с ними над проектом.,0
206,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/творительный),them,personal-object/творительный,/ðɛm/,ими,ими,,plural,3,She danced with them at the party.,Она танцевала с ними на вечеринке.,0
207,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/творительный),them,personal-object/творительный,/ðɛm/,ими,ими,,plural,3,The teacher was impressed by them.,Учитель был впечатлён ими.,0
208,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/творительный),them,personal-object/творительный,/ðɛm/,ими,ими,,plural,3,He argued with them about politics.,Он спорил с ними о политике.,0
209,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/творительный),them,personal-object/творительный,/ðɛm/,ими,ими,,plural,3,They traveled with them last summer.,Они путешествовали с ними прошлым летом.,0
210,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/предложный),them,personal-object/предложный,/ðɛm/,о них,о них,,plural,3,They talked about them yesterday.,Они говорили о них вчера.,0
211,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/предложный),them,personal-object/предложный,/ðɛm/,о них,о них,,plural,3,The story is about them.,История о них.,0
212,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/предложный),them,personal-object/предложный,/ðɛm/,о них,о них,,plural,3,She always thinks about them.,Она всегда думает о них.,0
213,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/предложный),them,personal-object/предложный,/ðɛm/,о них,о них,,plural,3,Don’t worry about them.,Не переживай о них.,0
214,"Personal Pronouns, object form","личные местоимения, косвенные падежи",them(personal-object/предложный),them,personal-object/предложный,/ðɛm/,о них,о них,,plural,3,What do you know about them?,Что ты знаешь о них?,0
215,Possessive Pronouns,Притяжательные местоимения,mine,mine,,/maɪn/,мой(poss-pron),мой,poss-pron,singular,1,This book is mine.,Эта книга моя.,0
216,Possessive Pronouns,Притяжательные местоимения,mine,mine,,/maɪn/,мой(poss-pron),мой,poss-pron,singular,1,The choice is mine.,Выбор за мной.,0
217,Possessive Pronouns,Притяжательные местоимения,mine,mine,,/maɪn/,мой(poss-pron),мой,poss-pron,singular,1,That bag is mine.,Эта сумка моя.,0
218,Possessive Pronouns,Притяжательные местоимения,mine,mine,,/maɪn/,мой(poss-pron),мой,poss-pron,singular,1,This seat is mine.,Это место моё.,0
219,Possessive Pronouns,Притяжательные местоимения,mine,mine,,/maɪn/,мой(poss-pron),мой,poss-pron,singular,1,The decision was mine.,Решение было моим.,0
220,Possessive Pronouns,Притяжательные местоимения,yours,yours,,/jɔːrz/,ваш(poss-pron),ваш,poss-pron,plural,2,The tickets are yours.,Билеты ваши.,0
221,Possessive Pronouns,Притяжательные местоимения,yours,yours,,/jɔːrz/,ваш(poss-pron),ваш,poss-pron,plural,2,This success is yours.,Этот успех ваш.,0
222,Possessive Pronouns,Притяжательные местоимения,yours,yours,,/jɔːrz/,ваш(poss-pron),ваш,poss-pron,plural,2,The choice is yours.,Выбор за вами.,0
223,Possessive Pronouns,Притяжательные местоимения,yours,yours,,/jɔːrz/,ваш(poss-pron),ваш,poss-pron,plural,2,The responsibility is yours.,Ответственность ваша.,0
224,Possessive Pronouns,Притяжательные местоимения,yours,yours,,/jɔːrz/,ваш(poss-pron),ваш,poss-pron,plural,2,The decision was yours.,Решение было вашим.,0
225,Possessive Pronouns,Притяжательные местоимения,his(poss-pron),his,poss-pron,/hɪz/,его(poss-pron/m.),его,poss-pron/m.,singular,3,The coat is his.,Пальто его.,0
226,Possessive Pronouns,Притяжательные местоимения,his(poss-pron),his,poss-pron,/hɪz/,его(poss-pron/m.),его,poss-pron/m.,singular,3,This bike is his.,Этот велосипед его.,0
227,Possessive Pronouns,Притяжательные местоимения,his(poss-pron),his,poss-pron,/hɪz/,его(poss-pron/m.),его,poss-pron/m.,singular,3,Is that notebook his?,Это его тетрадь?,0
228,Possessive Pronouns,Притяжательные местоимения,his(poss-pron),his,poss-pron,/hɪz/,его(poss-pron/m.),его,poss-pron/m.,singular,3,The idea was his.,Это была его идея.,0
229,Possessive Pronouns,Притяжательные местоимения,his(poss-pron),his,poss-pron,/hɪz/,его(poss-pron/m.),его,poss-pron/m.,singular,3,The credit goes to him and his work.,Заслуга принадлежит ему и его работе.,0
230,Possessive Pronouns,Притяжательные местоимения,hers,hers,,/hɜːrz/,её(poss-pron),её,poss-pron,singular,3,The house is hers.,Дом её.,0
231,Possessive Pronouns,Притяжательные местоимения,hers,hers,,/hɜːrz/,её(poss-pron),её,poss-pron,singular,3,This scarf is hers.,Этот шарф её.,0
232,Possessive Pronouns,Притяжательные местоимения,hers,hers,,/hɜːrz/,её(poss-pron),её,poss-pron,singular,3,The victory was hers.,Победа была её.,0
233,Possessive Pronouns,Притяжательные местоимения,hers,hers,,/hɜːrz/,её(poss-pron),её,poss-pron,singular,3,That decision was hers.,Это решение было её.,0
234,Possessive Pronouns,Притяжательные местоимения,hers,hers,,/hɜːrz/,её(poss-pron),её,poss-pron,singular,3,The responsibility is hers.,Ответственность лежит на ней.,0
235,Possessive Pronouns,Притяжательные местоимения,its(poss-pron),its,poss-pron,/ɪts/,его(poss-pron/n.),его,poss-pron/n.,singular,3,The decision is its.,Решение его.,0
236,Possessive Pronouns,Притяжательные местоимения,its(poss-pron),its,poss-pron,/ɪts/,его(poss-pron/n.),его,poss-pron/n.,singular,3,Its name is unique.,Его название уникально.,0
237,Possessive Pronouns,Притяжательные местоимения,its(poss-pron),its,poss-pron,/ɪts/,его(poss-pron/n.),его,poss-pron/n.,singular,3,The color is its.,Цвет его.,0
238,Possessive Pronouns,Притяжательные местоимения,its(poss-pron),its,poss-pron,/ɪts/,его(poss-pron/n.),его,poss-pron/n.,singular,3,Its role is important.,Его роль важна.,0
239,Possessive Pronouns,Притяжательные местоимения,its(poss-pron),its,poss-pron,/ɪts/,его(poss-pron/n.),его,poss-pron/n.,singular,3,The sound is its.,Звук его.,0
240,Possessive Pronouns,Притяжательные местоимения,ours,ours,,/aʊrz/,наш(poss-pron),наш,poss-pron,plural,1,This victory is ours.,Эта победа наша.,0
241,Possessive Pronouns,Притяжательные местоимения,ours,ours,,/aʊrz/,наш(poss-pron),наш,poss-pron,plural,1,The house is ours.,Дом наш.,0
242,Possessive Pronouns,Притяжательные местоимения,ours,ours,,/aʊrz/,наш(poss-pron),наш,poss-pron,plural,1,This problem is ours to solve.,"Это наша проблема, которую нужно решить.",0
243,Possessive Pronouns,Притяжательные местоимения,ours,ours,,/aʊrz/,наш(poss-pron),наш,poss-pron,plural,1,That car is ours.,Эта машина наша.,0
244,Possessive Pronouns,Притяжательные местоимения,ours,ours,,/aʊrz/,наш(poss-pron),наш,poss-pron,plural,1,The plan is ours.,План наш.,0
245,Possessive Pronouns,Притяжательные местоимения,theirs,theirs,,/ðɛrz/,их(poss-pron),их,poss-pron,plural,3,The car is theirs.,Машина их.,0
246,Possessive Pronouns,Притяжательные местоимения,theirs,theirs,,/ðɛrz/,их(poss-pron),их,poss-pron,plural,3,The books are theirs.,Книги их.,0
247,Possessive Pronouns,Притяжательные местоимения,theirs,theirs,,/ðɛrz/,их(poss-pron),их,poss-pron,plural,3,This problem is theirs to handle.,Эта проблема на них.,0
248,Possessive Pronouns,Притяжательные местоимения,theirs,theirs,,/ðɛrz/,их(poss-pron),их,poss-pron,plural,3,The success was theirs.,Успех был их.,0
249,Possessive Pronouns,Притяжательные местоимения,theirs,theirs,,/ðɛrz/,их(poss-pron),их,poss-pron,plural,3,The blame is theirs.,Вина их.,0
250,Possessive Adjectives,Притяжательные прилагательные,my,my,,/maɪ/,мой(poss-adj),мой,poss-adj,singular,1,My book is on the table.,Моя книга на столе.,0
251,Possessive Adjectives,Притяжательные прилагательные,my,my,,/maɪ/,мой(poss-adj),мой,poss-adj,singular,1,My car is very old.,Моя машина очень старая.,0
252,Possessive Adjectives,Притяжательные прилагательные,my,my,,/maɪ/,мой(poss-adj),мой,poss-adj,singular,1,My house is near the park.,Мой дом рядом с парком.,0
253,Possessive Adjectives,Притяжательные прилагательные,my,my,,/maɪ/,мой(poss-adj),мой,poss-adj,singular,1,My friend is waiting for me.,Мой друг ждёт меня.,0
254,Possessive Adjectives,Притяжательные прилагательные,my,my,,/maɪ/,мой(poss-adj),мой,poss-adj,singular,1,My phone is charging.,Мой телефон заряжается.,0
255,Possessive Adjectives,Притяжательные прилагательные,your,your,,/jɔːr/,ваш(poss-adj),ваш,poss-adj,plural,2,Your efforts matter.,Ваши усилия важны.,0
256,Possessive Adjectives,Притяжательные прилагательные,your,your,,/jɔːr/,ваш(poss-adj),ваш,poss-adj,plural,2,Your house is beautiful.,Ваш дом красивый.,0
257,Possessive Adjectives,Притяжательные прилагательные,your,your,,/jɔːr/,ваш(poss-adj),ваш,poss-adj,plural,2,Where is your car?,Где ваша машина?,0
258,Possessive Adjectives,Притяжательные прилагательные,your,your,,/jɔːr/,ваш(poss-adj),ваш,poss-adj,plural,2,Your kids are very polite.,Ваши дети очень вежливы.,0
259,Possessive Adjectives,Притяжательные прилагательные,your,your,,/jɔːr/,ваш(poss-adj),ваш,poss-adj,plural,2,I like your idea.,Мне нравится ваша идея.,0
260,Possessive Adjectives,Притяжательные прилагательные,his(poss-adj),his,poss-adj,/hɪz/,его(poss-adj/m.),его,poss-adj/m.,singular,3,His dog is friendly.,Его собака дружелюбная.,0
261,Possessive Adjectives,Притяжательные прилагательные,his(poss-adj),his,poss-adj,/hɪz/,его(poss-adj/m.),его,poss-adj/m.,singular,3,His house is very big.,Его дом очень большой.,0
262,Possessive Adjectives,Притяжательные прилагательные,his(poss-adj),his,poss-adj,/hɪz/,его(poss-adj/m.),его,poss-adj/m.,singular,3,I like his car.,Мне нравится его машина.,0
263,Possessive Adjectives,Притяжательные прилагательные,his(poss-adj),his,poss-adj,/hɪz/,его(poss-adj/m.),его,poss-adj/m.,singular,3,His work is inspiring.,Его работа вдохновляющая.,0
264,Possessive Adjectives,Притяжательные прилагательные,his(poss-adj),his,poss-adj,/hɪz/,его(poss-adj/m.),его,poss-adj/m.,singular,3,Where is his book?,Где его книга?,0
265,Possessive Adjectives,Притяжательные прилагательные,her(poss-adj),her,poss-adj,/hɜːr/,её,её,,singular,3,Her ideas are brilliant.,Её идеи блестящие.,0
266,Possessive Adjectives,Притяжательные прилагательные,her(poss-adj),her,poss-adj,/hɜːr/,её,её,,singular,3,Her voice is beautiful.,Её голос прекрасен.,0
267,Possessive Adjectives,Притяжательные прилагательные,her(poss-adj),her,poss-adj,/hɜːr/,её,её,,singular,3,Her house is near the school.,Её дом рядом со школой.,0
268,Possessive Adjectives,Притяжательные прилагательные,her(poss-adj),her,poss-adj,/hɜːr/,её,её,,singular,3,I like her style.,Мне нравится её стиль.,0
269,Possessive Adjectives,Притяжательные прилагательные,her(poss-adj),her,poss-adj,/hɜːr/,её,её,,singular,3,This is her favorite color.,Это её любимый цвет.,0
270,Possessive Adjectives,Притяжательные прилагательные,its(poss-adj),its,poss-adj,/ɪts/,его(poss-adj/n.),его,poss-adj/n.,singular,3,Its color is vibrant.,Его цвет яркий.,0
271,Possessive Adjectives,Притяжательные прилагательные,its(poss-adj),its,poss-adj,/ɪts/,его(poss-adj/n.),его,poss-adj/n.,singular,3,Its size is perfect.,Его размер идеален.,0
272,Possessive Adjectives,Притяжательные прилагательные,its(poss-adj),its,poss-adj,/ɪts/,его(poss-adj/n.),его,poss-adj/n.,singular,3,I like its design.,Мне нравится его дизайн.,0
273,Possessive Adjectives,Притяжательные прилагательные,its(poss-adj),its,poss-adj,/ɪts/,его(poss-adj/n.),его,poss-adj/n.,singular,3,Its role is important.,Его роль важна.,0
274,Possessive Adjectives,Притяжательные прилагательные,its(poss-adj),its,poss-adj,/ɪts/,его(poss-adj/n.),его,poss-adj/n.,singular,3,Its sound is unique.,Его звук уникален.,0
275,Possessive Adjectives,Притяжательные прилагательные,our,our,,/aʊr/,наш(poss-adj),наш,poss-adj,plural,1,Our team is strong.,Наша команда сильная.,0
276,Possessive Adjectives,Притяжательные прилагательные,our,our,,/aʊr/,наш(poss-adj),наш,poss-adj,plural,1,Our house is on the corner.,Наш дом на углу.,0
277,Possessive Adjectives,Притяжательные прилагательные,our,our,,/aʊr/,наш(poss-adj),наш,poss-adj,plural,1,Our car is parked outside.,Наша машина припаркована снаружи.,0
278,Possessive Adjectives,Притяжательные прилагательные,our,our,,/aʊr/,наш(poss-adj),наш,poss-adj,plural,1,Our work is almost done.,Наша работа почти завершена.,0
279,Possessive Adjectives,Притяжательные прилагательные,our,our,,/aʊr/,наш(poss-adj),наш,poss-adj,plural,1,Our friends are coming over.,Наши друзья идут к нам.,0
280,Possessive Adjectives,Притяжательные прилагательные,their,their,,/ðɛr/,их(poss-adj),их,poss-adj,plural,3,Their house is beautiful.,Их дом красивый.,0
281,Possessive Adjectives,Притяжательные прилагательные,their,their,,/ðɛr/,их(poss-adj),их,poss-adj,plural,3,Their dog is very playful.,Их собака очень игривая.,0
282,Possessive Adjectives,Притяжательные прилагательные,their,their,,/ðɛr/,их(poss-adj),их,poss-adj,plural,3,Their car is new.,Их машина новая.,0
283,Possessive Adjectives,Притяжательные прилагательные,their,their,,/ðɛr/,их(poss-adj),их,poss-adj,plural,3,Their kids are at school.,Их дети в школе.,0
284,Possessive Adjectives,Притяжательные прилагательные,their,their,,/ðɛr/,их(poss-adj),их,poss-adj,plural,3,I like their work.,Мне нравится их работа.,0
285,Demonstrative Pronouns,Указательные местоимения,this,this,,/ðɪs/,это(demonstrative),это,demonstrative,singular,,This is my house.,Это мой дом.,0
286,Demonstrative Pronouns,Указательные местоимения,this,this,,/ðɪs/,это(demonstrative),это,demonstrative,singular,,This is a great idea.,Это отличная идея.,0
287,Demonstrative Pronouns,Указательные местоимения,this,this,,/ðɪs/,это(demonstrative),это,demonstrative,singular,,I like this dress.,Мне нравится это платье.,0
288,Demonstrative Pronouns,Указательные местоимения,this,this,,/ðɪs/,это(demonstrative),это,demonstrative,singular,,This is for you.,Это для тебя.,0
289,Demonstrative Pronouns,Указательные местоимения,this,this,,/ðɪs/,это(demonstrative),это,demonstrative,singular,,Do you see this?,Ты видишь это?,0
290,Demonstrative Pronouns,Указательные местоимения,that(demonstrative),that,demonstrative,/ðæt/,то,то,,singular,,That is a beautiful painting.,То красивая картина.,0
291,Demonstrative Pronouns,Указательные местоимения,that(demonstrative),that,demonstrative,/ðæt/,то,то,,singular,,I don’t understand that.,Я не понимаю это.,0
292,Demonstrative Pronouns,Указательные местоимения,that(demonstrative),that,demonstrative,/ðæt/,то,то,,singular,,That is not mine.,То не моё.,0
