id;question;extra;suspicious_status;suspicious_note
019;The school updated [its structure:t.Possessive](the curriculum's structure) to match new standards.;Школа обновила структуру учебного плана, чтобы соответствовать новым стандартам.;0;
020;The school updated [its structure:t.Possessive](the structure of the curriculum) to match new standards.;Школа обновила структуру учебного плана, чтобы соответствовать новым стандартам.;0;
021;The app changed [its settings:t.Possessive](the notification's settings) after the update.;Приложение изменило настройки уведомления после обновления.;0;
022;The app changed [its settings:t.Possessive](the settings of the notification) after the update.;Приложение изменило настройки уведомления после обновления.;0;
023;[Their house:t.Possessive](James and Sarah's house) is bigger than ours.;Дом Джеймса и Сары больше, чем наш.;0;
024;[Their house:t.Possessive](the house of James and Sarah) is bigger than ours.;Дом Джеймса и Сары больше, чем наш.;0;

# >>>> Numerals (Числительные) — Точные количества: one, two, ten
# >>>> Quantifiers (Количественные) — Указывают на количество: some, any, much, few, several
# >>>> Demonstrative Determiners (Указательные) — Указывают на объект: this, that, these, those
# >>>> Distributive Determiners (Распределительные) — Указывают на отдельные элементы из группы: each, every, either, neither
# >>>> Interrogative Determiners (Вопросительные) — Используются в вопросах перед существительным: which, what, whose
# >>>> Negative: no
# >>>> Predeterminers: all, both, such, what
